AccelX,AccelY,AccelZ,AirbrakesDeploy,Altitude,EndByte,GyroX,GyroY,GyroZ,State,Temperature,Timestamp,Velocity,Voltage
0.15,-0.48,-0.83,0,4.8496933,0,-3.7,-3.7,2.3,8,21,1307300,247,0
0.14,-0.49,-0.83,0,4.8496933,0,-4,-4,2.3,8,21,1307400,247,0
0.15,-0.48,-0.83,0,4.8496933,0,-4,-4,2.3,8,21,1307500,247,0
0.13,-0.49,-0.83,0,4.8496933,0,-4,-4,2.4,8,21,1307600,247,0
0.15,-0.48,-0.83,0,4.8496933,0,-3.9,-3.9,2.4,8,21,1307700,247,0
0.14,-0.49,-0.84,0,4.8496933,0,-3.8,-3.8,2.3,8,21,1307800,247,0
0.15,-0.47,-0.83,0,4.8496933,0,-4.1,-4.1,2.5,8,21,1307900,247,0
0.14,-0.49,-0.83,0,4.8496933,0,-3.7,-3.7,2.3,8,21,1308000,247,0
0.15,-0.48,-0.84,0,4.8496933,0,-4.1,-4.1,2.3,8,21,1308100,247,0
0.14,-0.49,-0.84,0,4.8496933,0,-3.7,-3.7,2.3,8,21,1308200,247,0
0.15,-0.48,-0.84,0,5.766139,0,-4.1,-4.1,2.4,8,21,1308300,247,0
0.14,-0.49,-0.83,0,4.8496933,0,-3.6,-3.6,2.4,8,21,1308400,247,0
0.15,-0.48,-0.83,0,4.8496933,0,-4.1,-4.1,2.3,8,21,1308500,247,0
0.14,-0.49,-0.84,0,4.8496933,0,-3.8,-3.8,2.4,8,21,1308600,247,0
0.15,-0.48,-0.83,0,4.516552,0,-4,-4,2.4,8,21,1308700,247,0
0.16,-0.48,-0.84,0,4.8496933,0,-3.8,-3.8,2.4,8,21,1308800,247,0
0.13,-0.49,-0.84,0,3.932825,0,-4.4,-4.4,2.3,8,21,1308900,248,0
0.15,-0.48,-0.84,0,3.932825,0,-3.5,-3.5,2.4,8,21,1309000,248,0
0.14,-0.48,-0.83,0,4.8496933,0,-4.3,-4.3,2.4,8,21,1309100,248,0
0.16,-0.48,-0.83,0,4.8496933,0,-3.5,-3.5,2.3,8,21,1309200,248,0
0.14,-0.49,-0.83,0,5.766139,0,-4.2,-4.2,2.2,8,21,1309300,248,0
0.16,-0.46,-0.83,0,4.516552,0,-3.8,-3.8,2.4,8,21,1309400,248,0
0.14,-0.5,-0.83,0,4.8496933,0,-3.8,-3.8,2.2,8,21,1309500,248,0
0.15,-0.47,-0.83,0,5.766139,0,-4,-4,2.4,8,21,1309600,248,0
0.15,-0.49,-0.84,0,3.5997124,0,-3.6,-3.6,2.3,8,21,1309700,248,0
0.15,-0.48,-0.83,0,5.766139,0,-4.3,-4.3,2.3,8,21,1309800,248,0
