W,I,J,K,LAT,LON,ALT_MSL_GPS,ALT_BARO,BARO,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time
0.02,0.00,-1.00,0.02,279359776.0000,-513651328.0000,-581734400.00,121.54,998.73,-0.03,0.03,1.01,0.95,17.67,-15.15,130926.00,128548.00,130494.00,3312023773
0.02,0.01,-1.00,0.02,279359776.0000,-513651328.0000,-581734400.00,121.41,998.75,-0.02,0.00,1.00,8.52,10.37,-8.77,130924.00,128539.00,130487.00,3312023773
0.02,0.01,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.41,998.75,-0.03,-0.00,1.02,-3.93,13.61,-15.21,130924.00,128543.00,130498.00,3312023773
0.02,0.01,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.41,998.75,0.01,-0.01,1.04,0.04,14.64,-16.31,130922.00,128548.00,130488.00,3312023773
0.01,0.02,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.23,998.77,0.02,0.04,1.03,-11.44,-1.07,-9.76,130932.00,128543.00,130490.00,3312023773
0.01,0.02,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.23,998.77,0.02,0.01,1.00,-4.74,-4.88,-11.31,130928.00,128543.00,130503.00,3312023773
0.01,0.02,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.72,998.71,0.00,0.10,0.94,-1.26,-9.84,-11.66,130936.00,128549.00,130513.00,3312023773
0.00,0.02,-1.00,0.02,279359776.0000,-513651328.0000,-581734400.00,121.72,998.71,0.01,0.09,0.94,5.81,-1.22,-8.10,130926.00,128556.00,130489.00,3312023773
-0.00,0.02,-1.00,0.03,279359776.0000,-513651328.0000,-581734400.00,121.72,998.71,0.05,0.11,0.99,1.56,-6.50,0.96,130928.00,128551.00,130498.00,3312023773
-0.01,0.02,-1.00,0.03,279359776.0000,-513651328.0000,-581734400.00,121.84,998.70,0.04,0.06,1.02,14.15,-4.38,-0.86,130931.00,128544.00,130494.00,3312023773
-0.02,0.02,-1.00,0.03,279359776.0000,-513651328.0000,-581734400.00,121.84,998.70,0.09,0.06,1.07,0.27,-11.41,1.29,130923.00,128540.00,130502.00,3312023773
-0.03,0.02,-1.00,0.03,279359776.0000,-513651328.0000,-581734400.00,121.84,998.70,0.12,0.10,1.08,12.84,-22.82,1.24,130927.00,128535.00,130495.00,3312023773
-0.04,0.02,-1.00,0.04,279359776.0000,-513651328.0000,-581734400.00,121.49,998.74,0.13,0.06,1.09,17.07,-31.19,-4.08,130919.00,128551.00,130500.00,3312023773
