accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ
1.12,-0.67,0.07,31.87,59.95,162.08,99904.00,9872.00,98072.00,31482
1.13,-1.02,0.05,44.81,46.28,161.51,99736.00,8376.00,97640.00,31507
1.08,-1.09,0.01,26.56,36.80,120.21,99536.00,6656.00,96776.00,31532
1.10,-0.91,0.04,-8.03,39.63,100.66,99224.00,5432.00,96528.00,31557
1.03,-0.80,0.12,-39.65,24.09,95.15,98704.00,3960.00,96144.00,31582
1.10,-0.91,0.02,-39.38,9.00,89.52,98536.00,2200.00,96224.00,31607
1.12,-0.72,-0.18,-134.15,18.50,78.15,98272.00,-568.00,96456.00,31632
1.08,-0.48,-0.18,-187.32,28.37,103.46,97472.00,-4016.00,96720.00,31657
0.79,-0.95,-0.20,-230.12,21.47,168.16,96312.00,-7728.00,98128.00,31682
0.76,-1.25,-0.26,-184.59,14.53,159.20,95024.00,-11480.00,99576.00,31707
0.78,-1.19,-0.21,-249.94,8.95,123.82,94088.00,-15568.00,103480.00,31732
0.67,-1.10,-0.37,-249.94,-15.98,108.57,93304.00,-18752.00,108728.00,31757
0.70,-1.05,-0.59,-249.94,-36.34,100.43,92200.00,-20368.00,115584.00,31782
0.54,-0.89,-0.86,-249.94,-27.30,84.94,91304.00,-20008.00,124608.00,31807
0.56,-0.60,-0.77,-249.94,-48.58,51.98,90360.00,-14896.00,135464.00,31832
0.42,0.08,-0.65,-249.94,-99.40,26.92,88760.00,-7232.00,142768.00,31857
0.35,0.49,-0.72,-249.94,-156.61,22.69,86152.00,2408.00,147488.00,31882
0.14,1.04,-0.70,-249.94,-190.26,-20.38,83152.00,12744.00,148768.00,31907
0.09,1.41,-0.59,-249.94,-182.79,-33.67,80520.00,20184.00,147760.00,31932
0.08,1.78,-0.73,-249.94,-163.81,3.57,78792.00,24432.00,146336.00,31957
0.08,1.80,-0.54,-249.94,-116.30,80.40,78352.00,27136.00,144456.00,31982
-0.02,1.15,-0.05,-221.26,-134.74,162.34,78232.00,29136.00,142696.00,32007
-0.13,1.09,-0.00,-249.94,-164.03,143.25,77624.00,32512.00,139864.00,32032
0.03,1.17,-0.10,-249.94,-182.58,125.66,77456.00,34872.00,136504.00,32057
