accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ
-0.34,0.95,0.96,104.79,125.04,124.77,136964.00,132798.00,134484.00
-0.30,0.90,0.93,94.48,125.04,124.77,136982.00,132815.00,134480.00
-0.22,0.85,0.76,88.80,125.04,124.77,137027.00,132810.00,134465.00
-0.14,0.95,0.66,114.56,125.04,124.77,137056.00,132803.00,134488.00
-0.20,0.84,0.60,81.39,125.04,124.77,137128.00,132807.00,134475.00
-0.17,1.06,0.61,83.36,125.04,124.77,137151.00,132803.00,134483.00
-0.44,1.23,0.45,96.43,125.04,124.77,137214.00,132787.00,134492.00
-0.81,0.81,0.44,124.78,125.04,124.77,137258.00,132816.00,134482.00
-0.97,0.73,0.65,124.78,125.04,124.77,137285.00,132785.00,134475.00
-0.97,0.48,1.09,124.78,125.04,124.77,137309.00,132801.00,134495.00
-0.76,0.55,1.42,117.53,125.04,124.77,137302.00,132788.00,134498.00
-0.51,0.50,0.83,33.16,125.04,124.77,137314.00,132785.00,134485.00
-0.39,0.66,0.73,44.61,125.04,124.77,137317.00,132796.00,134484.00
-0.34,0.77,0.71,44.63,125.04,124.77,137286.00,132813.00,134463.00
-0.39,0.72,0.86,29.63,125.04,124.77,137269.00,132799.00,134478.00
-0.38,0.58,0.99,-8.77,125.04,124.77,137242.00,132796.00,134462.00
-0.55,0.54,0.96,7.89,125.04,124.77,137203.00,132815.00,134458.00
-0.50,0.41,1.17,27.34,125.04,124.77,137188.00,132790.00,134486.00
-0.33,0.26,1.68,85.86,120.47,124.77,137177.00,132793.00,134461.00
-0.33,0.34,1.67,24.28,26.57,124.77,137185.00,132787.00,134458.00
0.02,0.41,1.16,-92.49,-85.16,116.64,137182.00,132786.00,134465.00
0.21,0.40,0.76,-125.21,-97.99,111.92,137205.00,132782.00,134486.00
0.16,0.60,0.48,-61.47,-92.58,115.11,137187.00,132791.00,134458.00
0.25,0.58,0.50,-11.46,-33.61,124.77,137191.00,132799.00,134478.00
0.42,0.09,1.55,9.99,-15.24,124.77,137175.00,132790.00,134484.00
0.19,-0.09,1.72,-95.35,-124.95,86.12,137192.00,132788.00,134494.00
0.44,-0.23,0.92,-125.21,-124.95,16.56,137204.00,132798.00,134494.00
0.52,-0.03,0.72,-125.21,-124.95,-53.27,137239.00,132780.00,134496.00
0.56,0.22,0.85,-125.21,-124.95,-119.73,137268.00,132784.00,134445.00
0.66,0.33,0.64,-125.21,-124.95,-125.22,137285.00,132764.00,134498.00
0.78,0.53,0.51,-125.21,-124.95,-104.86,137286.00,132761.00,134502.00
0.87,0.37,0.44,-125.21,-124.95,-63.72,137294.00,132782.00,134498.00
0.97,-0.68,0.78,-125.21,-124.95,-125.22,137303.00,132777.00,134500.00
0.89,-0.63,0.53,-125.21,-100.75,-125.22,137325.00,132804.00,134501.00
0.91,-0.39,0.65,-125.21,-14.44,-125.22,137330.00,132787.00,134480.00
0.93,-0.49,0.88,-125.21,49.51,-125.22,137343.00,132783.00,134463.00
0.93,-0.52,1.01,-125.21,69.30,-125.22,137319.00,132764.00,134494.00
1.21,-0.02,0.84,-125.21,1.46,-125.22,137280.00,132799.00,134480.00
1.27,-0.04,0.38,-125.21,-37.31,-125.22,137254.00,132771.00,134471.00
1.40,-0.02,0.12,-125.21,-28.53,-125.22,137231.00,132783.00,134488.00
1.31,0.25,0.08,-125.21,-19.19,-125.22,137223.00,132777.00,134488.00
1.47,0.27,0.03,-125.21,-28.95,-121.43,137222.00,132798.00,134482.00
1.47,0.33,-0.05,-125.21,-31.85,-100.74,137219.00,132784.00,134498.00
1.43,0.27,0.01,-125.21,-16.69,-78.15,137195.00,132773.00,134473.00
1.47,0.19,0.16,-125.21,-30.22,-75.88,137191.00,132786.00,134469.00
1.44,0.27,-0.07,-125.21,-32.93,-88.19,137192.00,132784.00,134477.00
1.31,0.52,0.02,-125.21,-16.77,-78.24,137185.00,132791.00,134473.00
1.11,0.64,0.24,-125.21,-16.72,-51.53,137202.00,132777.00,134488.00
1.50,0.82,0.15,-109.70,-30.63,3.34,137204.00,132816.00,134477.00
1.74,0.39,-0.19,17.62,-82.14,81.61,137210.00,132779.00,134480.00
1.62,0.16,-0.51,124.78,-29.01,86.95,137221.00,132768.00,134482.00
1.57,0.13,-0.23,124.78,42.42,86.44,137219.00,132809.00,134475.00
1.48,0.20,-0.01,124.78,50.93,81.66,137216.00,132786.00,134489.00
1.45,0.32,-0.12,124.78,59.17,87.74,137235.00,132790.00,134467.00
1.54,0.12,-0.20,124.78,82.71,100.23,137211.00,132800.00,134477.00
1.48,-0.21,-0.23,124.78,123.00,79.79,137209.00,132797.00,134468.00
1.38,-0.19,0.18,124.78,125.04,30.60,137223.00,132806.00,134440.00
1.45,0.09,0.50,124.78,96.85,7.97,137231.00,132817.00,134488.00
1.65,0.01,-0.06,124.78,19.61,21.50,137226.00,132809.00,134466.00
1.47,0.13,-0.19,124.78,43.97,14.96,137241.00,132810.00,134489.00
